Date,Open,High,Low,Close,Volume,Change
2010-01-29,19052,19066,18668,18742,2717811,-0.026996158239019796
2010-02-26,18611,18683,18514,18559,974615,0.00043124359872792617
2010-03-31,19853,19858,19729,19789,883019,-0.0037756745871928565
2010-04-30,20331,20403,20313,20377,758179,0.00781443196992937
2010-05-31,18887,19126,18882,19134,1979678,0.012220282494842083
2010-06-30,19568,19720,19524,19716,1779351,-0.008997235486303046
2010-07-30,20637,20642,20461,20489,924894,-0.008180850033885134
2010-08-31,20342,20387,20212,20302,1462985,-0.00951358735424701
2010-09-30,21612,21684,21604,21678,893776,0.0009234463015974637
2010-10-29,22058,22068,21600,21845,1865914,-0.008847549909255847
2010-11-30,22219,22531,22151,22538,1475590,0.014220142201422092
2010-12-31,24409,24504,24376,24515,1658776,0.005496083015462894
2011-01-31,25004,25034,24701,24715,972888,-0.018428055125302878
2011-02-28,23482,23482,23212,23230,1757724,-0.011068539804171995
2011-03-31,25220,25243,25114,25255,1942268,0.003775834658187538
2011-04-29,26474,26595,26202,26331,1182824,-0.005626888217522663
2011-05-31,25110,25844,25110,25754,1268055,0.02568800031861085
2011-06-30,25052,25093,24896,25024,2061799,0.002885540237255624
2011-07-29,25480,25499,25167,25178,1675374,-0.012123827833797618
2011-08-31,21595,21979,21464,21987,4405163,0.01796379462012121
2011-09-30,20844,21045,20533,20888,6569338,0.000814527334578985
2011-10-31,22951,23119,22625,22779,2860497,-0.008056087789583666
2011-11-30,22018,22070,21870,21992,8422083,-0.00542691751085389
2011-12-30,21749,21970,21651,21883,1866182,0.0008232334781614892
2012-01-31,23458,23683,23367,23581,1779472,0.005414854609022024
2012-02-29,24277,24513,24277,24458,3165732,0.01099537037037046
2012-03-30,24436,24485,24332,24417,3035344,-0.0024105245955221566
2012-04-30,24309,24355,24213,24285,4568990,0.0047579644187008
2012-05-31,22117,22395,22023,22402,3535668,-0.002093634460332283
2012-06-29,21943,22478,21818,22483,3769802,0.02047022512708785
2012-07-31,22454,23220,22432,22942,11091497,0.02118757233152313
2012-08-31,22866,23055,22848,22942,5276509,-0.0027385351010650316
2012-09-28,24111,24130,23976,24070,4876562,0.001622903749323834
2012-10-31,22930,23021,22848,22966,2571167,0.008696416022487607
2012-11-30,23328,23480,23277,23380,5006225,0.001413457831841436
2012-12-31,24224,24404,24219,24346,2933789,0.004828924016674341
2013-01-31,23782,23840,23721,23826,4094564,-0.0018851325876586555
2013-02-28,24661,24865,24652,24757,7621521,0.009830314896394299
2013-03-29,24287,24454,24287,24300,5883450,0.003924808923776002
2013-04-30,23412,23652,23347,23593,7634746,0.01292289198007901
2013-05-31,24123,24251,24090,24095,5311660,0.0007891676358198207
2013-06-28,22046,22408,22046,22284,5552545,0.01313934985223919
2013-07-31,22887,22952,22814,22869,5063766,-0.002486260141324248
2013-08-30,23049,23156,22943,23145,10153718,0.007750250359211064
2013-09-30,24097,24202,23976,24069,5042562,-0.008404399950562302
2013-10-31,24894,24931,24641,24646,4795640,-0.014948041566746562
2013-11-29,24788,24963,24788,24869,7756446,0.0003217891476610113
2013-12-31,24589,24604,24497,24611,5049368,0.0038340743157809776
2014-01-31,23398,23602,23384,23567,4379104,0.011155446861457863
2014-02-28,23953,24056,23896,23987,8241832,0.0011268781302169462
2014-03-31,23934,23999,23833,23991,11825625,0.004606172270843034
2014-04-30,23888,23888,23652,23767,9349160,-0.000588705268912193
2014-05-30,24416,24480,24214,24222,5120259,-0.00831115660184234
2014-06-30,24136,24265,24136,24222,4790092,0.0045620437956204185
2014-07-31,25211,25358,25087,25148,13919456,-0.004867239127854028
2014-08-29,24677,24695,24522,24672,6392736,-0.002829197316304266
2014-09-30,23897,23977,23759,23867,10678545,-0.0042970379641218415
2014-10-31,23158,23264,23017,23265,7339042,0.0076226774654597484
2014-11-28,23531,23614,23507,23559,6654768,-0.0002121880835171952
2014-12-31,23186,23259,22910,22988,9056165,-0.009479489831092702
2015-01-30,23703,23754,23590,23623,8656579,-0.00042313713874664316
2015-02-27,23712,23754,23614,23679,7432229,-0.0033251957235457263
2015-03-31,24265,24278,24105,24155,6893954,0.0003727325436926332
2015-04-30,25155,25187,25032,25128,7481911,-0.0045162823864987045
2015-05-29,24368,24651,24329,24561,5489352,0.005197675370385513
2015-06-30,23547,23713,23529,23717,4623882,0.004149201913713485
2015-07-31,22991,23029,22804,22922,10212211,-0.003044537230341038
2015-08-31,21784,21841,21671,21840,6960587,-0.0013260780099684233
2015-09-30,21808,22322,21784,22293,6054689,0.007001535820760685
2015-10-30,23469,23662,23454,23645,6977348,0.004545840768119591
2015-11-30,23435,23440,22986,23096,5439541,-0.018986535275878236
2015-12-31,23129,23185,22944,22959,7619883,-0.005070202808112323
2016-01-29,22075,22185,21940,22184,6034975,0.0013993590032952419
2016-02-29,22530,22670,22496,22568,6109176,-0.0011949546359814045
2016-03-31,23671,23676,23464,23533,6169286,-0.004189234935680464
2016-04-29,23554,23578,23376,23480,4103000,-0.003268667487371091
2016-05-31,23117,23333,23015,23336,4623806,0.00812165197857273
2016-06-30,23380,23429,23251,23431,4397380,0.00717847317744158
2016-07-29,24139,24283,24092,24128,2875706,-0.0008282259400363978
2016-08-31,24669,24674,24524,24580,2568596,-0.003688541202221285
2016-09-30,24774,24802,24640,24656,3351934,-0.010911424903722766
2016-10-31,24477,24587,24424,24526,3072318,-0.0020345052083333703
2016-11-30,24293,24462,24283,24411,3691448,0.004898732092870173
2016-12-30,25244,25298,25205,25291,6260945,0.0005538631957906492
2017-01-31,26229,26268,26146,26170,3256829,-0.005434576065062924
2017-02-28,26268,26340,26234,26290,3112811,0.001790953778150417
2017-03-31,27502,27526,27406,27419,4240701,-0.0019292370413511728
2017-04-28,28080,28189,28042,28075,12038877,0.0021059394631639528
2017-05-31,29800,30010,29766,29871,8540311,0.00016741445121537524
2017-06-30,30488,30592,30460,30594,10200611,-0.00303059927656657
2017-07-31,30681,30869,30667,30821,11381687,0.0
2017-08-31,30393,30427,30120,30184,7255256,-0.00615718942412169
2017-09-29,30829,31055,30829,31056,9891922,0.007755459648895124
2017-10-31,32407,32809,32358,32727,18472117,0.009967905196889282
2017-11-30,32221,32333,31873,31903,7858593,-0.01634138069250457
2017-12-29,31760,32177,31755,32144,7560958,0.012505118593882925
2018-01-31,32913,33535,32913,33051,18955268,0.0007266781724044602
2018-02-28,31323,31476,31034,31075,7129364,-0.011389304234403319
2018-03-30,31491,31569,31338,31340,8620284,0.002527110457119175
2018-04-30,32016,32135,31971,32131,4494562,0.006547208821502393
2018-05-31,30957,31006,30812,30937,18580502,0.003991692088011867
2018-06-29,29857,29962,29539,29888,14304926,0.0021459227467810482
2018-07-31,29683,29723,29589,29714,5386124,0.0013479813978567456
2018-08-31,29619,29883,29564,29868,4563537,0.004000134458301163
2018-09-28,30262,30262,30017,30033,6300176,-0.0062537224538415925
2018-10-31,26345,26425,26130,26390,5778168,0.004567948229920127
2018-11-30,27480,27535,27100,27160,5378880,-0.009301477293452542
2018-12-31,26535,26700,26535,26580,4337356,0.004155647903286708
2019-01-31,26005,26250,25935,26215,4733313,0.007687872381318517
